provider_category_id,provider_id
1000090,1000069
1000091,1000069
1000125,1000092
1000041,1000033
1000116,1000085
1000096,1000072
1000095,1000072
1000054,1000042
1000053,1000042
1000027,1000022
1000062,1000048
1000080,1000061
1000079,1000061
1000025,1000020
1000045,1000035
1000061,1000047
1000060,1000047
1000123,1000090
1000124,1000090
1000081,1000062
1000048,1000039
1000049,1000039
1000065,1000051
1000066,1000051
1000001,1000000
1000000,1000000
1000122,1000089
1000077,1000060
1000070,1000055
1000071,1000055
1000120,1000088
1000121,1000088
1000046,1000037
1000003,1000005
1000035,1000028
1000015,1000013
1000016,1000013
1000059,1000046
1000014,1000012
1000028,1000023
1000063,1000049
1000057,1000044
1000108,1000080
1000109,1000080
1000107,1000079
1000106,1000079
1000138,1000102
1000133,1000097
1000052,1000041
1000034,1000027
1000038,1000030
1000126,1000093
1000111,1000081
1000110,1000081
1000132,1000098
1000083,1000064
1000104,1000077
1000103,1000077
1000026,1000021
1000011,1000009
1000017,1000014
1000055,1000043
1000056,1000043
1000047,1000038
1000030,1000025
1000031,1000025
1000029,1000024
1000008,1000006
1000002,1000006
1000087,1000066
1000086,1000066
1000004,1000001
1000010,1000008
1000050,1000040
1000051,1000040
1000042,1000036
1000135,1000100
1000136,1000100
1000012,1000010
1000044,1000034
1000043,1000034
1000115,1000084
1000018,1000015
1000005,1000002
1000007,1000004
1000009,1000007
1000085,1000065
1000084,1000065
1000064,1000050
1000021,1000017
1000022,1000017
1000141,1000104
1000142,1000104
1000072,1000056
1000073,1000056
1000088,1000067
1000139,1000103
1000140,1000103
1000127,1000094
1000068,1000053
1000036,1000029
1000037,1000029
1000019,1000018
1000134,1000099
1000100,1000075
1000123,1000091
1000092,1000070
1000082,1000063
1000067,1000052
1000118,1000086
1000117,1000086
1000094,1000071
1000093,1000071
1000097,1000073
1000039,1000031
1000130,1000096
1000131,1000096
1000098,1000074
1000099,1000074
1000143,1000105
1000020,1000016
1000101,1000076
1000102,1000076
1000074,1000057
1000075,1000057
1000119,1000087
1000032,1000026
1000033,1000026
1000074,1000058
1000076,1000058
1000105,1000078
1000112,1000082
1000129,1000095
1000128,1000095
1000024,1000019
1000023,1000019
1000144,1000106
1000137,1000101
1000006,1000003
1000040,1000032
1000069,1000054
1000078,1000059
1000058,1000045
1000013,1000011
1000089,1000068
1000113,1000083
1000114,1000083
